name,niche,city,phone,address,rating,reviews,website,website_bucket,maps_url,lead_score
Save More Roofing Ltd,roofing contractor,Surrey BC,(778) 892-1266,"14328 84a Ave, Surrey, BC V3W 0Z9, Canada",4.7,69,,none,https://maps.google.com/?cid=10210095098736498334&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,81
Skylight Electric Ltd .,electrician,Richmond BC,(604) 500-5193,"1275 Pacific St #707, Vancouver, BC V6E 1T6, Canada",4.9,154,,none,https://maps.google.com/?cid=13807193569811914824&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,80
Alpha 1 Automotive,auto repair shop,Burnaby BC,(604) 376-2653,"7161 Randolph Ave, Burnaby, BC V5J 4W5, Canada",4.9,236,https://www.facebook.com/alpha1automotive,social_only,https://maps.google.com/?cid=2240216814572546065&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,80
Venus Electro Mechanic ltd,electrician,Burnaby BC,(604) 291-6469,"3810 1st Ave, Burnaby, BC V5C 3W1, Canada",4.3,148,,none,https://maps.google.com/?cid=8634533674352603931&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,79
Ridgemark Roofing Of Vancouver,roofing contractor,Richmond BC,(778) 562-8002,"1285 W Broadway #478, Vancouver, BC V6H 3X8, Canada",5,45,,none,https://maps.google.com/?cid=9761792231270909732&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,79
Matins plumbing,plumber,Coquitlam BC,(604) 780-8047,"2488 Austin Ave, Coquitlam, BC V3K 3S1, Canada",5,80,https://sites.google.com/view/matins-plumbing/home?authuser=1,social_only,https://maps.google.com/?cid=17140782592055047681&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,78
Noor roofing,roofing contractor,Surrey BC,(604) 710-5301,"10278 124 St, Surrey, BC V3V 4T3, Canada",5,18,,none,https://maps.google.com/?cid=5619750556088394399&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,76
Moody Roofing & Repairs,roofing contractor,Coquitlam BC,(604) 690-2079,"290 Newport Dr #290, Port Moody, BC V3H 2L6, Canada",5,17,,none,https://maps.google.com/?cid=15604900965074673387&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,76
Skyline construction inc,roofing contractor,Delta BC,(604) 671-7141,"11036 84 Ave, Delta, BC V4C 2L7, Canada",5,18,,none,https://maps.google.com/?cid=7360596109204540764&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,76
BC HighLight Electric,electrician,Coquitlam BC,(604) 225-4448,"552 Clarke Rd #327, Coquitlam, BC V3J 3X5, Canada",4.8,118,,none,https://maps.google.com/?cid=1956215899407868231&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,76
Sukh Auto Repair Ltd.,auto repair shop,Surrey BC,(604) 728-5184,"8564 123 St. Unit 101 102, Surrey, BC V3W 3V6, Canada",5,236,,none,https://maps.google.com/?cid=7633447096561161021&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,75
Value Auto Repair & Tire,auto repair shop,Surrey BC,(778) 697-1629,"12312 82a Ave, Surrey, BC V3W 0T7, Canada",4.9,441,,none,https://maps.google.com/?cid=9561369444153252341&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,75
