name,niche,city,phone,address,rating,reviews,website,website_bucket,maps_url,reachable,https,final_url,mobile_viewport,copyright_year,page_size_kb,load_ms,red_flags,lead_score
Reid Brothers Plumbing and Heating Ltd.,plumber,Richmond BC,(604) 263-0323,"1636 W 75th Ave, Vancouver, BC V6P 6G2, Canada",4.7,459,https://www.reidbrothers.ca/?utm_source=google&utm_medium=organic&utm_campaign=gbp,real,https://maps.google.com/?cid=17221972103145943999&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.reidbrothers.ca/?utm_source=google&utm_medium=organic&utm_campaign=gbp,yes,2023,189,8196,stale_copyright_2023;slow_load,70
Adanac Roofing & Gutters,roofing contractor,Surrey BC,(604) 888-1616,"22116 88 Ave, Langley Twp, BC V1M 3S8, Canada",4.9,316,https://www.adanac.ca/,real,https://maps.google.com/?cid=9146511349727166042&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.adanac.ca/,yes,2026,187,212,,70
Absolute Roof Solutions,roofing contractor,Surrey BC,(604) 263-0334,"1680 W 75th Ave, Vancouver, BC V6P 6G2, Canada",4.9,314,https://absoluteroof.ca/?utm_source=gmb&utm_medium=organic&utm_campaign=main,real,https://maps.google.com/?cid=2414315686397878444&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://absoluteroof.ca/?utm_source=gmb&utm_medium=organic&utm_campaign=main,yes,2026,197,389,,70
Northwood Roofing Ltd.,roofing contractor,Langley BC,(604) 308-4819,"20540 Duncan Way #502, Langley, BC V3A 7A3, Canada",4.8,229,https://northwoodroofing.com/,real,https://maps.google.com/?cid=16511525735363632041&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://northwoodroofing.com/,yes,2026,390,1316,,70
Coast Mountain Roof,roofing contractor,Langley BC,(604) 420-1657,"6286 203 St C130, Langley Twp, BC V2Y 3S1, Canada",4.8,157,https://coastmountainroof.com/,real,https://maps.google.com/?cid=9145220680784535202&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://coastmountainroof.com/,yes,2011,199,946,stale_copyright_2011,70
Whonnock Roofing Ltd,roofing contractor,Langley BC,(604) 462-7638,"20172 113b Ave #5, Maple Ridge, BC V2X 0Y9, Canada",4.9,287,https://www.whonnockroofing.com/,real,https://maps.google.com/?cid=8401556887028344755&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.whonnockroofing.com/,yes,2026,124,964,,70
Penfolds Roofing & Solar,roofing contractor,Langley BC,(604) 254-4663,"2230 Hartley Ave, Coquitlam, BC V3K 6X3, Canada",4.7,415,https://www.penfoldsroofing.com/?utm_source=local&utm_medium=organic&utm_content=website&utm_campaign=gmb,real,https://maps.google.com/?cid=14526006948786240765&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.penfoldsroofing.com/?utm_source=local&utm_medium=organic&utm_content=website&utm_campaign=gmb,yes,2026,68,769,,70
Cooper Roofing,roofing contractor,Langley BC,(604) 674-0319,"1285 W Broadway #600, Vancouver, BC V6H 3X8, Canada",4.8,260,https://cooperroofs.ca/?utm_source=googlebusinessprofile&utm_medium=Organic&utm_campaign=GoogleBusinessProfile,real,https://maps.google.com/?cid=12054044905700172764&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://cooperroofs.ca/?utm_source=googlebusinessprofile&utm_medium=Organic&utm_campaign=GoogleBusinessProfile,yes,2026,243,203,,70
Canuck Roofing Ltd.,roofing contractor,Burnaby BC,(778) 772-1969,"4238 Lozells Ave #104, Burnaby, BC V5A 0C4, Canada",4.9,225,https://www.canuckroofing.ca/,real,https://maps.google.com/?cid=15221571728801651122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://canuckroofing.ca/,yes,,326,1276,,70
ClearView Home Services,roofing contractor,Maple Ridge BC,(604) 944-9972,"21108 Dewdney Trunk Rd, Maple Ridge, BC V2X 3E9, Canada",4.9,636,https://cvhomeservices.com/,real,https://maps.google.com/?cid=16888362697555938950&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://cvhomeservices.com/,yes,,327,176,,70
Langley Roofing,roofing contractor,Langley BC,(423) 407-2606,"2211 Hickory Valley Rd, Chattanooga, TN 37421, USA",4.8,1545,http://www.langleyroofs.com/?utm_campaign=gmb,real,https://maps.google.com/?cid=5167312653675431535&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.langleyroofs.com/?utm_campaign=gmb,yes,2026,151,399,,70
Plumber Today,plumber,Burnaby BC,(604) 561-6443,"3038 E 18th Ave, Vancouver, BC V5M 2R3, Canada",5,99,http://www.plumbertoday.ca/,real,https://maps.google.com/?cid=7032834867366576735&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,no,http://www.plumbertoday.ca/,no,2020,31,14142,not_mobile_ready;stale_copyright_2020;no_ssl;slow_load,69
Busy Boys Roofing Ltd,roofing contractor,Surrey BC,(604) 418-5500,"3418 164a St, Surrey, BC V3Z 0G5, Canada",5,198,http://busyboysroofing.com/,real,https://maps.google.com/?cid=6430212016505976748&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://busyboysroofing.com/,yes,2025,49,570,,69
Crown Roofing LTD,roofing contractor,Richmond BC,(604) 370-6288,"11860 Hammersmith Wy Unit 118, Richmond, BC V7A 5G1, Canada",4.9,149,https://www.crownroofingltd.com/?utm_source=GMB&utm_medium=organic,real,https://maps.google.com/?cid=16818504884779853335&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.crownroofingltd.com/?utm_source=GMB&utm_medium=organic,yes,2008,69,478,stale_copyright_2008,69
J J Roofing Services Ltd.,roofing contractor,Surrey BC,(604) 726-6345,"10660 140 St, Surrey, BC V3T 4N7, Canada",4.8,130,http://www.jjroofing.ca/,real,https://maps.google.com/?cid=16264343417068584841&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://jjroofing.ca/,yes,2021,168,4272,stale_copyright_2021,68
Millwall Roofing,roofing contractor,Coquitlam BC,(604) 763-1930,"2090 W 1st Ave, Vancouver, BC V6J 1G8, Canada",4.9,187,http://www.millwallroofing.com/,real,https://maps.google.com/?cid=12397944451413214655&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://millwallroofing.com/,yes,,94,2544,,68
Army Roofing Inc.,roofing contractor,Surrey BC,(778) 686-7663,"4921 Coleman Pl, Delta, BC V4K 3H8, Canada",4.7,174,https://armyroofing.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,real,https://maps.google.com/?cid=9240976731804061552&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://armyroofing.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,yes,2026,182,167,,67
Alphanova Roofing,roofing contractor,Richmond BC,(604) 262-0656,"601 W Broadway, Vancouver, BC V5Z 4C2, Canada",5,171,https://alphanovaroofing.ca/,real,https://maps.google.com/?cid=11483276236616080340&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://alphanovaroofing.ca/,yes,,299,534,,67
All Star Roofing,roofing contractor,Richmond BC,(778) 951-4600,"422 Richards St Ste 170, Vancouver, BC V6B 2Z4, Canada",5,124,http://allstarroofingvancouver.ca/,real,https://maps.google.com/?cid=9140542375621834800&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,yes,https://www.allstarroofingvancouver.ca/,yes,2024,176,2672,stale_copyright_2024,67
Nika Roofing Ltd.,roofing contractor,North Vancouver BC,(778) 858-7122,"1110 27th St, North Vancouver, BC V7J 1S2, Canada",5,119,http://www.nikaroofing.ca/,real,https://maps.google.com/?cid=7276075243363413628&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yes,no,http://www.nikaroofing.ca/,yes,,36,183,no_ssl,66
